project,event_kind,event_label,event_date,metric_name,baseline,immediate,sustained,trend_pct_per_day,counterfactual_immediate,counterfactual_sustained,immediate_lift_pct,sustained_lift_pct,robust_z,zero_baseline,classification,confounded,pre_days_available,post_days_available,sustain_days_available,notes,control_projects_used,control_projects_skipped,control_immediate_lift_pct,control_sustained_lift_pct,did_immediate_lift_pct,did_sustained_lift_pct,did_notes
tiangolo/fastapi,release,0.1.11,2018-12-15,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,v0.1.16,2018-12-30,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.1.17,2019-01-05,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.1.19,2019-02-01,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.2.0,2019-02-08,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.2.1,2019-02-12,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.3.0,2019-02-12,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.4.0,2019-02-16,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.5.0,2019-02-16,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
tiangolo/fastapi,release,0.5.1,2019-02-18,pypi.downloads,,,,,,,,,,False,INSUFFICIENT,True,0,0,0,"another event falls within this event's analysis window; insufficient data: baseline 0/2 complete weeks, immediate 0/2 complete weeks",,pallets/click;pallets/flask;psf/requests;pytest-dev/pytest;python-pillow/Pillow;sqlalchemy/sqlalchemy;urllib3/urllib3;certifi/python-certifi;pyca/cryptography;numpy/numpy;pandas-dev/pandas;django/django;pypa/pip;python-attrs/attrs;benoitc/gunicorn;yaml/pyyaml;pydantic/pydantic;encode/httpx;benjaminp/six,,,,,no usable control projects for this window (all insufficient or confounded)
